label,series,source,log_file,samples,avg_mbps,max_mbps,plot
fixed150_node088_unfair_vs_node084_sweep_fixed_node088_150M_sweep_node084_150M,fair,server,node069/fixed150_node088_unfair_vs_node084_sweep_fixed_node088_150M_sweep_node084_150M/node069_iperf_server_p5004.log,60,13.478,25.100,/home/tsiantosd/Desktop/TsiantosD/HERMES/workspace/ECE436-Wireless-Communications/selfish_collected_logs_fixed_sweep/plots/fixed150_node088_unfair_vs_node084_sweep_fixed_node088_150M_sweep_node084_150M_bandwidth_timeseries.png
fixed150_node088_unfair_vs_node084_sweep_fixed_node088_150M_sweep_node084_150M,unfair,server,node069/fixed150_node088_unfair_vs_node084_sweep_fixed_node088_150M_sweep_node084_150M/node069_iperf_server_p5003.log,60,56.753,61.800,/home/tsiantosd/Desktop/TsiantosD/HERMES/workspace/ECE436-Wireless-Communications/selfish_collected_logs_fixed_sweep/plots/fixed150_node088_unfair_vs_node084_sweep_fixed_node088_150M_sweep_node084_150M_bandwidth_timeseries.png
fixed150_node088_unfair_vs_node084_sweep_fixed_node088_150M_sweep_node084_25M,fair,server,node069/fixed150_node088_unfair_vs_node084_sweep_fixed_node088_150M_sweep_node084_25M/node069_iperf_server_p5004.log,59,13.036,16.600,/home/tsiantosd/Desktop/TsiantosD/HERMES/workspace/ECE436-Wireless-Communications/selfish_collected_logs_fixed_sweep/plots/fixed150_node088_unfair_vs_node084_sweep_fixed_node088_150M_sweep_node084_25M_bandwidth_timeseries.png
fixed150_node088_unfair_vs_node084_sweep_fixed_node088_150M_sweep_node084_25M,unfair,server,node069/fixed150_node088_unfair_vs_node084_sweep_fixed_node088_150M_sweep_node084_25M/node069_iperf_server_p5003.log,60,57.030,62.700,/home/tsiantosd/Desktop/TsiantosD/HERMES/workspace/ECE436-Wireless-Communications/selfish_collected_logs_fixed_sweep/plots/fixed150_node088_unfair_vs_node084_sweep_fixed_node088_150M_sweep_node084_25M_bandwidth_timeseries.png
fixed150_node088_unfair_vs_node084_sweep_fixed_node088_150M_sweep_node084_50M,fair,server,node069/fixed150_node088_unfair_vs_node084_sweep_fixed_node088_150M_sweep_node084_50M/node069_iperf_server_p5004.log,60,12.868,16.600,/home/tsiantosd/Desktop/TsiantosD/HERMES/workspace/ECE436-Wireless-Communications/selfish_collected_logs_fixed_sweep/plots/fixed150_node088_unfair_vs_node084_sweep_fixed_node088_150M_sweep_node084_50M_bandwidth_timeseries.png
fixed150_node088_unfair_vs_node084_sweep_fixed_node088_150M_sweep_node084_50M,unfair,server,node069/fixed150_node088_unfair_vs_node084_sweep_fixed_node088_150M_sweep_node084_50M/node069_iperf_server_p5003.log,60,57.252,61.400,/home/tsiantosd/Desktop/TsiantosD/HERMES/workspace/ECE436-Wireless-Communications/selfish_collected_logs_fixed_sweep/plots/fixed150_node088_unfair_vs_node084_sweep_fixed_node088_150M_sweep_node084_50M_bandwidth_timeseries.png
fixed150_node088_unfair_vs_node084_sweep_fixed_node088_150M_sweep_node084_5M,fair,server,node069/fixed150_node088_unfair_vs_node084_sweep_fixed_node088_150M_sweep_node084_5M/node069_iperf_server_p5004.log,60,5.232,6.270,/home/tsiantosd/Desktop/TsiantosD/HERMES/workspace/ECE436-Wireless-Communications/selfish_collected_logs_fixed_sweep/plots/fixed150_node088_unfair_vs_node084_sweep_fixed_node088_150M_sweep_node084_5M_bandwidth_timeseries.png
fixed150_node088_unfair_vs_node084_sweep_fixed_node088_150M_sweep_node084_5M,unfair,server,node069/fixed150_node088_unfair_vs_node084_sweep_fixed_node088_150M_sweep_node084_5M/node069_iperf_server_p5003.log,60,63.090,66.800,/home/tsiantosd/Desktop/TsiantosD/HERMES/workspace/ECE436-Wireless-Communications/selfish_collected_logs_fixed_sweep/plots/fixed150_node088_unfair_vs_node084_sweep_fixed_node088_150M_sweep_node084_5M_bandwidth_timeseries.png
fixed150_node088_vs_node086_fixed_node088_150M_sweep_node086_5M,fair,missing,,0,,,/home/tsiantosd/Desktop/TsiantosD/HERMES/workspace/ECE436-Wireless-Communications/selfish_collected_logs_fixed_sweep/plots/fixed150_node088_vs_node086_fixed_node088_150M_sweep_node086_5M_bandwidth_timeseries.png
fixed150_node088_vs_node086_fixed_node088_150M_sweep_node086_5M,unfair,server,node069/fixed150_node088_vs_node086_fixed_node088_150M_sweep_node086_5M/node069_iperf_server_p5003.log,60,75.022,78.300,/home/tsiantosd/Desktop/TsiantosD/HERMES/workspace/ECE436-Wireless-Communications/selfish_collected_logs_fixed_sweep/plots/fixed150_node088_vs_node086_fixed_node088_150M_sweep_node086_5M_bandwidth_timeseries.png
selfish_vs_baseline_150M_per_sta,fair,client,node084/selfish_vs_baseline_150M_per_sta/node084_iperf_client_to_192.168.2.1_150M_60s.log,60,14.072,18.500,/home/tsiantosd/Desktop/TsiantosD/HERMES/workspace/ECE436-Wireless-Communications/selfish_collected_logs_fixed_sweep/plots/selfish_vs_baseline_150M_per_sta_bandwidth_timeseries.png
selfish_vs_baseline_150M_per_sta,unfair,server,node069/selfish_vs_baseline_150M_per_sta/node069_iperf_server_p5003.log,120,36.542,62.900,/home/tsiantosd/Desktop/TsiantosD/HERMES/workspace/ECE436-Wireless-Communications/selfish_collected_logs_fixed_sweep/plots/selfish_vs_baseline_150M_per_sta_bandwidth_timeseries.png
selfish_vs_baseline_25M_per_sta,fair,client,node084/selfish_vs_baseline_25M_per_sta/node084_iperf_client_to_192.168.2.1_25M_60s.log,60,20.660,29.300,/home/tsiantosd/Desktop/TsiantosD/HERMES/workspace/ECE436-Wireless-Communications/selfish_collected_logs_fixed_sweep/plots/selfish_vs_baseline_25M_per_sta_bandwidth_timeseries.png
selfish_vs_baseline_25M_per_sta,unfair,server,node069/selfish_vs_baseline_25M_per_sta/node069_iperf_server_p5003.log,120,23.423,29.400,/home/tsiantosd/Desktop/TsiantosD/HERMES/workspace/ECE436-Wireless-Communications/selfish_collected_logs_fixed_sweep/plots/selfish_vs_baseline_25M_per_sta_bandwidth_timeseries.png
selfish_vs_baseline_50M_per_sta,fair,client,node084/selfish_vs_baseline_50M_per_sta/node084_iperf_client_to_192.168.2.1_50M_60s.log,60,6.248,10.100,/home/tsiantosd/Desktop/TsiantosD/HERMES/workspace/ECE436-Wireless-Communications/selfish_collected_logs_fixed_sweep/plots/selfish_vs_baseline_50M_per_sta_bandwidth_timeseries.png
selfish_vs_baseline_50M_per_sta,unfair,server,node069/selfish_vs_baseline_50M_per_sta/node069_iperf_server_p5003.log,120,29.244,54.300,/home/tsiantosd/Desktop/TsiantosD/HERMES/workspace/ECE436-Wireless-Communications/selfish_collected_logs_fixed_sweep/plots/selfish_vs_baseline_50M_per_sta_bandwidth_timeseries.png
selfish_vs_baseline_5M_per_sta,fair,client,node084/selfish_vs_baseline_5M_per_sta/node084_iperf_client_to_192.168.2.1_5M_60s.log,60,5.239,5.260,/home/tsiantosd/Desktop/TsiantosD/HERMES/workspace/ECE436-Wireless-Communications/selfish_collected_logs_fixed_sweep/plots/selfish_vs_baseline_5M_per_sta_bandwidth_timeseries.png
selfish_vs_baseline_5M_per_sta,unfair,server,node069/selfish_vs_baseline_5M_per_sta/node069_iperf_server_p5003.log,120,5.239,5.280,/home/tsiantosd/Desktop/TsiantosD/HERMES/workspace/ECE436-Wireless-Communications/selfish_collected_logs_fixed_sweep/plots/selfish_vs_baseline_5M_per_sta_bandwidth_timeseries.png
